YEAR,RegionCode,Area_ha
1995,QC,673201.759774
1994,QC,94352.885575
1993,QC,124511.274365
1992,QC,24924.259066
1991,QC,465427.760443
1990,QC,92687.405951
1989,QC,1898256.580739
1988,QC,365596.79741
1987,QC,41507.603864
1986,QC,156564.382325
1985,QC,91724.004616
1984,QC,2091.41891
1983,QC,978417.920431
1982,QC,39842.567969
1981,QC,180403.656865
1980,QC,24366.827004
1979,QC,3832.906502
1978,QC,37433.974041
1977,QC,47137.215448
1976,QC,589818.665759
1975,QC,39527.945042
1974,QC,168670.926558
1973,QC,185038.892701
1972,QC,66984.05407
2024,SK,760954.259178
2023,SK,1086507.599438
2022,SK,224706.437495
2021,SK,867993.573556
2020,SK,42739.985624
2019,SK,55443.066691
2018,SK,108944.977945
2017,SK,370530.536836
2016,SK,227122.66331
2015,SK,1461961.507993
2014,SK,312574.484265
2013,SK,342257.400586
2012,SK,220625.055042
2011,SK,277427.48656
2010,SK,1534769.925
2009,SK,32131.71087
2008,SK,882562.091576
2007,SK,167294.254197
2006,SK,1052356.547534
2005,SK,188675.512779
2004,SK,269564.67056
2003,SK,91359.886079
2002,SK,650199.104527
2001,SK,122646.549752
2000,SK,118690.554295
1999,SK,152193.088633
1998,SK,804236.257737
1997,SK,1775.238209
1996,SK,13882.203487
1995,SK,1109191.018831
1994,SK,780725.225812
1993,SK,731274.105506
1992,SK,113561.51096
1991,SK,161907.548203
1990,SK,174824.382616
1989,SK,370186.650127
1988,SK,61064.651475
1987,SK,168718.719335
1986,SK,5786.949597
1985,SK,83133.410588
1984,SK,309537.398009
1983,SK,49699.941274
1982,SK,68197.793406
1981,SK,1504169.097981
1980,SK,1697608.411576
1979,SK,407553.3681
1978,SK,66955.70644
1977,SK,100131.391379
1976,SK,66846.230914
1975,SK,75872.297344
1974,SK,22767.407284
1973,SK,331376.138629
1972,SK,129109.964323
2024,YT,181700.081212
2023,YT,333095.330548
2022,YT,194283.416626
2021,YT,133945.834348
2020,YT,15939.710809
2019,YT,272855.490016
2018,YT,79858.90342
2017,YT,328084.631454
2016,YT,19066.081021
2015,YT,147642.977597
2014,YT,3213.654266
2013,YT,171508.670316
2012,YT,53725.270318
2011,YT,33383.802902
2010,YT,133252.919314
2009,YT,210635.786067
2008,YT,10988.739995
2007,YT,34191.617236
2006,YT,89986.032634
2005,YT,167464.844062
2004,YT,1617369.650528
2003,YT,49301.556084
2002,YT,34374.87399
2001,YT,17804.779195
2000,YT,8221.712532
1999,YT,170680.983036
1998,YT,303171.671258
1997,YT,10316.083523
1996,YT,81047.423966
1995,YT,290823.264396
1994,YT,387067.861307
1993,YT,104400.493282
1992,YT,24378.139511
1991,YT,104738.363427
1990,YT,150980.123552
1989,YT,308091.260637
1988,YT,4828.671565
1987,YT,77654.059013
1986,YT,88958.986391
1985,YT,11957.556458
1984,YT,18815.603558
1983,YT,43909.54376
1982,YT,220754.473122
1981,YT,11846.21759
1980,YT,133542.870525
1979,YT,3225.047597
1978,YT,5459.626828
1977,YT,170848.723493
1976,YT,50226.956499
1975,YT,19098.598163
1974,YT,2792.387442
1973,YT,3325.479178
1972,YT,60604.949053
2024,CANADA,4904399.41384
2023,CANADA,14635834.513788003
2022,CANADA,1458825.928697
2021,CANADA,3918403.8438830003
2020,CANADA,206965.58253699998
2019,CANADA,1603690.6083090003
2018,CANADA,1859210.4004640004
2017,CANADA,3048946.645497001
2016,CANADA,1213692.5475400002
2015,CANADA,3351797.5447659995
2014,CANADA,3854594.988575
2013,CANADA,3827601.9654590003
2012,CANADA,1637778.607735
2011,CANADA,1930165.3478350001
2010,CANADA,2825624.793459
2009,CANADA,770881.4635079999
2008,CANADA,1395351.495503
2007,CANADA,1549135.5074439999
2006,CANADA,1871595.223523
2005,CANADA,1621846.6732400001
2004,CANADA,2850088.480916
2003,CANADA,1796630.048592
2002,CANADA,2693160.2950000004
2001,CANADA,561671.503039
2000,CANADA,622342.4669990002
1999,CANADA,1639898.719763
1998,CANADA,4149715.6706580003
1997,CANADA,734956.256389
1996,CANADA,1771143.3669520002
1995,CANADA,5884882.322825999
1994,CANADA,5073875.030675
1993,CANADA,1947866.7215320002
1992,CANADA,864052.005857
1991,CANADA,1530290.9702130002
1990,CANADA,858748.780787
1989,CANADA,6663705.555914001
1988,CANADA,1216445.546447
1987,CANADA,885325.9434059999
1986,CANADA,819881.444933
1985,CANADA,712168.7199169999
1984,CANADA,880047.9307579999
1983,CANADA,1806598.376297
1982,CANADA,1681114.3787359998
1981,CANADA,5143919.470590998
1980,CANADA,4836680.530904
1979,CANADA,2525645.866494
1978,CANADA,252230.33550400002
1977,CANADA,1188653.2745049999
1976,CANADA,2304387.530294
1975,CANADA,799377.7398389999
1974,CANADA,900537.964063
1973,CANADA,1821030.609395
1972,CANADA,588618.8850099999
